	Significant	X.Log.P.value.	Difference	Majority.protein.IDs	Protein.IDs	Protein.names	Gene.names	id	Fasta.headers	Peptide.counts..all.	Peptide.counts..razor.unique.	Peptide.counts..unique.	Number.of.proteins	Peptides.LM2_WCL_1	Peptides.LM2_WCL_2	Peptides.LM2_WCL_3	Peptides.MDAMB231_WCL_1	Peptides.MDAMB231_WCL_2	Peptides.MDAMB231_WCL_3	Unique.peptides.LM2_WCL_1	Unique.peptides.LM2_WCL_2	Unique.peptides.LM2_WCL_3	Unique.peptides.MDAMB231_WCL_1	Unique.peptides.MDAMB231_WCL_2	Unique.peptides.MDAMB231_WCL_3	Sequence.length	Sequence.lengths	Identification.type.LM2_WCL_1	Identification.type.LM2_WCL_2	Identification.type.LM2_WCL_3	Identification.type.MDAMB231_WCL_1	Identification.type.MDAMB231_WCL_2	Identification.type.MDAMB231_WCL_3	Sequence.coverage.LM2_WCL_1....	Sequence.coverage.LM2_WCL_2....	Sequence.coverage.LM2_WCL_3....	Sequence.coverage.MDAMB231_WCL_1....	Sequence.coverage.MDAMB231_WCL_2....	Sequence.coverage.MDAMB231_WCL_3....	Symbol.color	Symbol.type	Symbol.size	Show.label	Only.identified.by.site	Reverse	Potential.contaminant	Student.s.T.test.Significant.LM2_MDA	Student.s.T.test.significant	Peptides	Razor...unique.peptides	Unique.peptides	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Q.value	Score	Student.s.T.test.p.value.LM2_MDA	Student.s.T.test.q.value.LM2_MDA	Student.s.T.test.Difference.LM2_MDA	Student.s.T.test.Test.statistic.LM2_MDA	LFQ.intensity.LM2_WCL_1	LFQ.intensity.LM2_WCL_2	LFQ.intensity.LM2_WCL_3	LFQ.intensity.MDAMB231_WCL_1	LFQ.intensity.MDAMB231_WCL_2	LFQ.intensity.MDAMB231_WCL_3	DEGs	DEPs	namesdep
2393	+	1.85131626198683	3.1050402323405	Q9BZQ8	Q9BZQ8	Protein Niban	FAM129A	3797	Protein Niban 1 OS=Homo sapiens OX=9606 GN=NIBAN1 PE=1 SV=1	17	17	17	1	9	9	8	1	2	4	9	9	8	1	2	4	928	928	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.8	14.2	14.3	1.4	3	6.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	17	17	17	25.3	25.3	25.3	103.13	0	158.64	0.0140826289952637	0.0267733333333333	3.1050402323405	4.1654752051011	27.7547454833984	27.5887794494629	27.6183490753174	24.1504936218262	23.5071334838867	25.9891262054443	UP	UP	FAM129A
339	+	2.23238080837784	3.02110417683919	O95466	O95466	Formin-like protein 1	FMNL1	634	Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3	25	25	23	1	10	8	8	4	4	5	9	7	6	3	4	5	1100	1100	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	10.3	9.9	8.5	4.2	3.2	5.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	25	25	23	24.9	24.9	22.9	121.85	0	202.25	0.0058562443822235	0.0167687296416938	3.02110417683919	5.35746837407656	27.9969043731689	27.1659545898438	27.203125	24.2315464019775	23.6972103118896	25.3739147186279	UP	UP	FMNL1
1398	+	3.0182645271126	3.01008733113607	Q02952	Q02952	A-kinase anchor protein 12	AKAP12	2081	A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4	15	15	15	1	9	8	4	0	2	0	9	8	4	0	2	0	1782	1782	By MS/MS	By MS/MS	By MS/MS		By matching		9.1	7.6	4.5	0	2	0	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	15	15	15	13.8	13.8	13.8	191.48	0	140.04	0.000958816442182079	0.00663414634146341	3.01008733113607	8.70534975441456	25.8249797821045	26.8090667724609	25.9638023376465	23.4880504608154	22.9503307342529	23.1292057037354	UP	UP	AKAP12
1200	+	3.01707534057734	2.99680201212565	P61024	P61024	Cyclin-dependent kinases regulatory subunit 1	CKS1B	1826	Cyclin-dependent kinases regulatory subunit 1 OS=Homo sapiens OX=9606 GN=CKS1B PE=1 SV=1	2	2	2	1	2	2	2	0	0	1	2	2	2	0	0	1	79	79	By MS/MS	By MS/MS	By MS/MS			By matching	40.5	40.5	40.5	0	0	27.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	2	2	2	40.5	40.5	40.5	9.6601	0	5.3904	0.000961445474190873	0.00661111111111111	2.99680201212565	8.69913212060637	26.8126220703125	26.7480411529541	26.7367324829102	24.3617572784424	23.7739944458008	23.1712379455566	UP	UP	CKS1B
957	+	2.68090537519202	2.98658688863118	P42892	P42892	Endothelin-converting enzyme 1	ECE1	1497	Endothelin-converting enzyme 1 OS=Homo sapiens OX=9606 GN=ECE1 PE=1 SV=2	23	23	23	1	10	9	8	3	4	5	10	9	8	3	4	5	770	770	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.3	15.6	13.4	4.7	6.6	10.6	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	23	23	23	31.4	31.4	31.4	87.163	0	323.31	0.00208494510493828	0.011252427184466	2.98658688863118	7.094188391353	27.8584575653076	28.0105724334717	28.0428085327148	24.5082721710205	24.628396987915	25.815408706665	UP	UP	ECE1
2178	+	2.00124751001939	2.9772809346517	Q96EK5	Q96EK5	KIF1-binding protein	KIAA1279	3433	KIF1-binding protein OS=Homo sapiens OX=9606 GN=KIF1BP PE=1 SV=1	13	13	13	1	12	10	9	2	0	2	12	10	9	2	0	2	621	621	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	28.8	24.8	25	3.9	0	3.7	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	13	13	13	32.2	32.2	32.2	71.813	0	38.219	0.00997131623700852	0.0219673913043478	2.9772809346517	4.60791064724308	27.5346012115479	27.2243499755859	27.4823913574219	23.4972858428955	24.1556129455566	25.6566009521484	UP	UP	KIAA1279
1946	+	3.34300862737514	2.96409861246745	Q8IV08	Q8IV08	Phospholipase D3	PLD3	2979	Phospholipase D3 OS=Homo sapiens OX=9606 GN=PLD3 PE=1 SV=1	3	3	3	1	3	2	2	0	1	1	3	2	2	0	1	1	490	490	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	6.5	6.5	4.5	0	3.5	3.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	3	3	3	6.5	6.5	6.5	54.705	0	6.3622	0.000453932599069088	0.00486538461538462	2.96409861246745	10.5661151854722	25.5921497344971	25.7248401641846	25.8252696990967	23.0880832672119	22.2112312316895	22.9506492614746	UP	UP	PLD3
75	+	2.80947301484318	2.95160865783691	O14786	O14786	Neuropilin-1	NRP1	244	Neuropilin-1 OS=Homo sapiens OX=9606 GN=NRP1 PE=1 SV=3	32	32	32	1	9	13	10	3	3	6	9	13	10	3	3	6	923	923	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.2	24.7	20.2	5.3	4.7	11.3	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	32	32	32	44.1	44.1	44.1	103.13	0	323.31	0.0015506971373286	0.00953591160220994	2.95160865783691	7.67355799978669	28.293249130249	28.7192420959473	28.3669891357422	25.5534744262695	24.8606967926025	26.1104831695557	UP	UP	NRP1
1407	+	2.24359661546742	2.94898160298665	Q04446	Q04446	1,4-alpha-glucan-branching enzyme	GBE1	2095	1,4-alpha-glucan-branching enzyme OS=Homo sapiens OX=9606 GN=GBE1 PE=1 SV=3	22	22	22	1	21	19	18	8	7	16	21	19	18	8	7	16	702	702	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	30.2	28.9	28.2	16.1	16.7	27.1	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	22	22	22	30.2	30.2	30.2	80.473	0	132.24	0.00570694102394067	0.016544262295082	2.94898160298665	5.39611876532317	30.3073692321777	30.9244365692139	29.1325168609619	27.2002277374268	26.9002361297607	27.4169139862061	UP	UP	GBE1
2714	+	2.11214263243018	2.93266868591309	Q9UIW2	Q9UIW2;P51805;Q9HCM2	Plexin-A1	PLXNA1	4354	Plexin-A1 OS=Homo sapiens OX=9606 GN=PLXNA1 PE=1 SV=3	42;7;4	42;7;4	37;3;1	3	10	7	11	3	1	3	6	5	9	2	1	3	1896	1896;1871;1894	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	6.1	4.5	6.4	1.9	0.5	1.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	42	42	37	27.7	27.7	24.4	211.06	0	323.31	0.00772426860449115	0.0187651403249631	2.93266868591309	4.95669442764184	26.0160789489746	25.5182132720947	26.7092514038086	24.0899868011475	22.5117149353027	22.8438358306885	UP	UP	PLXNA1
419	+	2.31272954226653	2.92065175374349	P04818	P04818	Thymidylate synthase	TYMS	764	Thymidylate synthase OS=Homo sapiens OX=9606 GN=TYMS PE=1 SV=3	5	5	5	1	4	3	4	0	1	1	4	3	4	0	1	1	313	313	By MS/MS	By MS/MS	By MS/MS		By matching	By matching	22	14.7	22.4	0	4.2	4.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	5	5	5	26.2	26.2	26.2	35.716	0	22.945	0.0048671021106385	0.014951724137931	2.92065175374349	5.63934207019788	26.1278209686279	26.2545070648193	26.3665809631348	22.4309673309326	24.2087898254395	23.3471965789795	UP	UP	TYMS
907	+	5.34444645113251	2.91346168518066	P37235	P37235;P84074;P61601	Hippocalcin-like protein 1;Neuron-specific calcium-binding protein hippocalcin	HPCAL1;HPCA	1430	Hippocalcin-like protein 1 OS=Homo sapiens OX=9606 GN=HPCAL1 PE=1 SV=3;Neuron-specific calcium-binding protein hippocalcin OS=Homo sapiens OX=9606 GN=HPCA PE=1 SV=2	10;8;4	10;8;4	10;8;4	3	10	10	9	6	6	9	10	10	9	6	6	9	193	193;193;193	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	57.5	57.5	57.5	44	44	53.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	10	10	10	57.5	57.5	57.5	22.313	0	168.35	4.52432244161973e-06	0	2.91346168518066	33.8859845974	29.3108386993408	29.1921119689941	29.0687141418457	26.27223777771	26.1929111480713	26.3661308288574	UP	UP	HPCAL1;HPCA
60	+	2.50231039442488	2.89550717671712	O00762	O00762	Ubiquitin-conjugating enzyme E2 C	UBE2C	215	Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens OX=9606 GN=UBE2C PE=1 SV=1	9	9	9	1	8	7	8	3	1	5	8	7	8	3	1	5	179	179	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	66.5	62	62	30.2	9.5	35.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	9	9	9	66.5	66.5	66.5	19.652	0	42.849	0.00314549939199825	0.0116673427991886	2.89550717671712	6.35304496245794	28.2283477783203	27.956485748291	28.149284362793	25.5791416168213	24.3238487243652	25.7446060180664	UP	UP	UBE2C
491	+	4.93270159328586	2.89458147684733	P08590	P08590;P05976	Myosin light chain 3;Myosin light chain 1/3, skeletal muscle isoform	MYL3;MYL1	865	Myosin light chain 3 OS=Homo sapiens OX=9606 GN=MYL3 PE=1 SV=3;Myosin light chain 1/3, skeletal muscle isoform OS=Homo sapiens OX=9606 GN=MYL1 PE=2 SV=3	2;1	2;1	2;1	2	2	2	2	1	0	1	2	2	2	1	0	1	195	195;194	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	10.8	10.8	10.8	6.2	0	6.2	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	2	2	2	10.8	10.8	10.8	21.932	0.00073529	2.5692	1.16761161544113e-05	0.00306666666666667	2.89458147684733	26.711696849368	26.5996017456055	26.325122833252	26.3751583099365	23.6693782806396	23.505838394165	23.4409217834473	UP	UP	MYL3;MYL1
2255	+	2.15833122776637	2.87343597412109	Q96T88	Q96T88	E3 ubiquitin-protein ligase UHRF1	UHRF1	3569	E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1	13	13	13	1	10	12	10	3	4	4	10	12	10	3	4	4	793	793	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.9	20.1	15.8	4.4	6.3	4.8	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	13	13	13	21.9	21.9	21.9	89.813	0	45.03	0.00694494438450608	0.0177764165390505	2.87343597412109	5.10776694016388	27.1174354553223	27.4846992492676	26.685920715332	23.441011428833	24.0376663208008	25.1890697479248	UP	UP	UHRF1
2712	+	2.51506776669284	2.83710289001465	Q9UIJ7	Q9UIJ7	GTP:AMP phosphotransferase AK3, mitochondrial	AK3	4352	GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4	4	4	4	1	2	2	3	1	1	2	2	2	3	1	1	2	227	227	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.1	21.1	27.8	7.5	11	18.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	4	4	4	35.2	35.2	35.2	25.565	0	8.4744	0.00305444446486169	0.0113827160493827	2.83710289001465	6.40367778337188	26.7280616760254	26.575569152832	26.8812198638916	23.3425159454346	24.7483768463135	23.582649230957	UP	UP	AK3
157	+	3.63626137550833	2.82628631591797	O43665	O43665	Regulator of G-protein signaling 10	RGS10	364	Regulator of G-protein signaling 10 OS=Homo sapiens OX=9606 GN=RGS10 PE=1 SV=3	12	12	12	1	10	11	11	4	5	6	10	11	11	4	5	6	181	181	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	57.5	61.9	56.9	27.6	40.3	40.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	12	12	12	63.5	63.5	63.5	21.21	0	38.953	0.000231067371725027	0.0042875816993464	2.82628631591797	12.56236363309	28.2630233764648	28.5512752532959	28.2635154724121	25.8020572662354	25.1340637207031	25.6628341674805	UP	UP	RGS10
588	+	2.79107676677636	2.81887690226237	P13674	P13674	Prolyl 4-hydroxylase subunit alpha-1	P4HA1	990	Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2	18	18	18	1	17	17	13	6	8	10	17	17	13	6	8	10	534	534	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	38.4	41.4	31.5	14.4	19.9	23.4	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	18	18	18	42.3	42.3	42.3	61.049	0	106.53	0.00161779404779981	0.00999457994579946	2.81887690226237	7.58816298941458	29.5024108886719	29.9444732666016	28.8318614959717	26.8488807678223	26.2490711212158	26.7241630554199	UP	UP	P4HA1
616	+	1.54843599679602	2.78572527567546	P15153	P15153	Ras-related C3 botulinum toxin substrate 2	RAC2	1024	Ras-related C3 botulinum toxin substrate 2 OS=Homo sapiens OX=9606 GN=RAC2 PE=1 SV=1	11	5	5	1	9	8	9	6	6	7	3	2	3	1	1	1	192	192	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	44.3	37	37	30.7	24.5	30.7	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	11	5	5	44.3	25.5	25.5	21.429	0	10.038	0.0282855093186959	0.0401512437810945	2.78572527567546	3.36073670863367	27.1821517944336	26.9445838928223	27.2102031707764	23.9655838012695	23.1134605407715	25.9007186889648	UP	UP	RAC2
1012	+	3.44501292859615	2.77706209818522	P48681	P48681	Nestin	NES	1565	Nestin OS=Homo sapiens OX=9606 GN=NES PE=1 SV=2	18	18	18	1	16	16	15	2	3	3	16	16	15	2	3	3	1621	1621	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	15.7	15.6	15.1	1.9	2.6	3.9	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	18	18	18	17.6	17.6	17.6	177.44	0	48.713	0.000358911249987786	0.00527083333333333	2.77706209818522	11.2235596171421	27.9988956451416	28.7380867004395	28.5163440704346	25.633810043335	25.8435230255127	25.4448070526123	UP	UP	NES
1336	+	2.88497102253782	2.76166661580404	P80297	P80297	Metallothionein-1X	MT1X	1994	Metallothionein-1X OS=Homo sapiens OX=9606 GN=MT1X PE=1 SV=1	5	1	1	1	3	4	3	2	2	2	1	1	1	1	1	1	61	61	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	62.3	75.4	62.3	52.5	52.5	52.5	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	5	1	1	75.4	32.8	32.8	6.0683	0	24.572	0.00130325373264456	0.00826190476190476	2.76166661580404	8.03311736585781	27.1027946472168	27.0964756011963	27.3610172271729	23.7653255462646	24.6821212768555	24.8278408050537	UP	UP	MT1X
2423	+	3.11020662777793	2.74359575907389	Q9H1B7	Q9H1B7	Interferon regulatory factor 2-binding protein-like	IRF2BPL	3856	Probable E3 ubiquitin-protein ligase IRF2BPL OS=Homo sapiens OX=9606 GN=IRF2BPL PE=1 SV=1	9	9	9	1	8	6	5	1	2	0	8	6	5	1	2	0	796	796	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching		12.7	11.9	10.6	1.3	2.5	0	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	9	9	9	14.6	14.6	14.6	82.658	0	19.169	0.000775877883139565	0.00571653543307087	2.74359575907389	9.19862901545767	26.2992725372314	26.3740310668945	26.1854820251465	24.0978946685791	23.4283180236816	23.10178565979	UP	UP	IRF2BPL
2168	+	2.54448525161122	2.71086947123209	Q96CX2	Q96CX2	BTB/POZ domain-containing protein KCTD12	KCTD12	3416	BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens OX=9606 GN=KCTD12 PE=1 SV=1	8	8	8	1	6	5	7	0	0	0	6	5	7	0	0	0	325	325	By MS/MS	By MS/MS	By MS/MS				24.6	15.7	24.6	0	0	0	Color2 [DarkGray]	1	4	NA	NA	NA	NA	+	LM2_MDA	8	8	8	33.5	33.5	33.5	35.7	0	57.164	0.00285439944589075	0.0115172413793103	2.71086947123209	6.5217481816738	26.6503410339355	26.7229919433594	26.7953834533691	24.676399230957	24.106517791748	23.2531909942627	UP	UP	KCTD12
